Temperature,L,R,A_M,Color,Spectral_Class,Type
4568,0.18609198253654596,0.68861645,6.7614,Pale Yellow Orange,K,3
4331,0.19749210334718267,0.78941894,6.5139,Orange,K,3
4869,0.2305422134797213,0.67479134,6.7672,Pale Yellow Orange,G,3
4405,0.2601944718654478,0.87593955,7.1769,Pale Yellow Orange,K,3
4740,0.2841278919615878,0.7902666,6.6617,Pale Yellow Orange,G,3
4865,0.3007793688123626,0.77212715,6.2814,Pale Yellow Orange,K,3
5007,0.35612751469171594,0.79295796,5.9226,Pale Yellow Orange,G,3
4867,0.4205633371689201,0.9121598,6.3844,Pale Yellow Orange,G,3
5110,0.47271229932154996,0.8773666,6.2709,Pale Yellow Orange,G,3
5280,0.5376323570184985,0.8761935,5.9918,Yellowish,G,3
5517,0.6592365690091553,0.888875,5.642,Yellowish,G,3
5432,0.7275091316607242,0.9629929,5.2807,Yellowish,G,3
5454,0.9012761894919653,1.0631586,4.8502,Yellowish,F,3
5484,0.9906932434452441,1.1026471,4.9397,Yellowish,F,3
5659,1.05874433442353,1.0703421,4.6717,Yellowish,G,3
5571,1.091413611520735,1.1214017,4.5863,Yellowish,F,3
5329,1.116549214877738,1.2395769,4.8494,Yellowish,G,3
5396,1.2461186171983805,1.2771498,4.4612,Yellowish,G,3
5089,1.27386316879875,1.4522035,4.4327,Pale Yellow Orange,G,3
5391,1.3961201308229902,1.354555,4.436,Yellowish,G,3
5883,1.4525991789995827,1.160372,4.3493,Yellowish,F,3
6086,1.5436218498194023,1.1176486,4.0285,Yellowish White,G,3
6156,1.5967318385244935,1.1109304,4.5421,Yellowish White,F,3
6062,1.612722489263042,1.1514221,4.4153,Yellowish White,G,3
5816,1.6572362270122225,1.2677279,4.2188,Yellowish,F,3
5645,1.7242262206273664,1.3729488,4.1357,Yellowish,G,3
5631,1.8147959157650368,1.4154514,4.0684,Yellowish,G,3
5416,1.8387611404033515,1.5401225,4.1346,Yellowish,G,3
6048,1.9061790194352926,1.2576844,3.9803,Yellowish White,F,3
5727,1.9285353123427091,1.4108436,4.0038,Yellowish,G,3
6041,2.006318305662297,1.2931963,3.836,Yellowish White,G,3
6095,2.0303664392073113,1.2778327,3.6058,Yellowish White,G,3
6062,2.0939489969427343,1.3117642,3.8893,Yellowish White,G,3
5548,2.1380443096635937,1.5828606,3.807,Yellowish,G,3
5959,2.169677332854591,1.3821521,3.8241,Yellowish,F,3
5491,2.199928676351305,1.6386667,3.8786,Yellowish,G,3
5638,2.216875177708261,1.5604701,3.8892,Yellowish,G,3
6138,2.2548860189752453,1.3278394,3.8519,Yellowish White,F,3
5378,2.325825674042643,1.7569506,3.8295,Yellowish,G,3
5765,2.370509752643034,1.5434272,3.9718,Yellowish,G,3
6214,2.3957525317201287,1.3354815,3.732,Yellowish White,F,3
6380,2.4667699908115837,1.2853928,3.7053,Yellowish White,F,3
6439,2.505207159263833,1.2718108,3.774,Yellowish White,F,3
5890,2.557575839162484,1.5360395,3.6771,Yellowish,F,3
5941,2.602638526646984,1.5226214,3.5759,Yellowish,G,3
6027,2.6297335411950304,1.4875717,3.6362,Yellowish White,G,3
5931,2.66131057197756,1.544897,3.6096,Yellowish,G,3
6376,2.69215165679909,1.3444949,3.5894,Yellowish White,F,3
6156,2.7230702510229174,1.4506259,3.7664,Yellowish White,G,3
5935,2.814804665984897,1.586971,3.4668,Yellowish,G,3
6441,2.885451440658685,1.3641722,3.5829,Yellowish White,F,3
5601,2.9216418713538523,1.815452,3.4664,Yellowish,G,3
6026,2.9563227474988327,1.5772979,3.6218,Yellowish White,G,3
6335,3.06524819826901,1.4533966,3.4199,Yellowish White,F,3
6171,3.1504535884060663,1.5526651,3.5037,Yellowish White,F,3
6264,3.3041866552840977,1.5435297,3.3957,Yellowish White,F,3
5584,3.410158475574335,1.9729573,3.5158,Yellowish,G,3
5827,3.5178755570379043,1.8404756,3.5202,Yellowish,G,3
6215,3.574374807534348,1.6306671,3.3221,Yellowish White,F,3
6082,3.6875298057994006,1.729338,1.9346,Yellowish White,G,3
5697,3.8138619674563237,2.004876,3.5546,Yellowish,F,3
6384,3.947269480281784,1.6242081,3.068,Yellowish White,F,3
6099,4.056223569430488,1.804006,3.0664,Yellowish White,F,3
6416,4.134180167350099,1.6455227,3.1521,Yellowish White,F,3
6572,4.2387204093734585,1.5881734,3.0149,Yellowish White,F,3
6775,4.441434548452944,1.5296749,3.2007,Yellowish White,F,3
6729,4.586327656759966,1.5758218,3.1357,Yellowish White,F,3
6166,4.643587530076254,1.8885467,3.082,Yellowish White,F,3
6591,4.742887965561806,1.6702862,2.9579,Yellowish White,F,3
6869,5.058489527889034,1.5882047,3.0065,Yellowish White,F,3
6838,5.192964159768121,1.6239082,2.8435,Yellowish White,F,3
6710,5.34575916438012,1.7109876,2.8621,Yellowish White,F,3
5685,5.498412054920579,2.4170685,4.0604,Yellowish,G,3
5148,5.775616712425893,3.0216625,3.0234,Pale Yellow Orange,K,3
5974,6.055694334517941,2.2969239,4.7465,Yellowish,G,3
6583,6.358104654413664,1.9385653,2.732,Yellowish White,F,3
6700,6.59836401660059,1.9062866,2.6019,Yellowish White,F,3
5743,6.896314919230128,2.6523924,2.5358,Yellowish,G,3
6350,7.124200986870445,2.205268,2.4944,Yellowish White,F,3
4989,7.438202380330019,3.6507251,2.5122,Pale Yellow Orange,G,3
5618,7.846253232737828,2.9571483,2.7088,Yellowish,G,3
7247,8.022292194049495,1.7969599,2.6645,Yellowish White,F,3
6295,8.55027762374546,2.4585147,2.3769,Yellowish White,F,3
7595,8.994208579779823,1.731965,2.3283,White,B,3
8074,9.716674215647224,1.5928918,2.1545,White,A,3
6176,10.105187721568463,2.7767594,2.1565,Yellowish White,F,3
7882,11.406146824293318,1.8112057,2.031,White,A,3
7847,12.687066480702368,1.9271308,1.3281,White,A,3
8806,14.05864351568217,1.6107774,1.8375,White,A,3
8786,15.916421501083432,1.7218297,1.7691,White,A,3
6907,17.921805130576242,2.956699,1.3775,Yellowish White,B,3
9438,19.10164010408964,1.6346747,1.6355,White,A,3
7595,21.542598067693532,2.6804316,1.4972,White,A,3
8863,23.91341589317764,2.0741646,1.1496,White,A,3
9538,29.27693605966404,1.9817215,1.4723,White,A,3
9468,33.348337973925254,2.1463375,1.3098,White,A,3
8040,43.83230546142217,3.412147,0.7137,White,A,3
11050,56.905668737552624,2.058279,0.7503,Blue-White,B,3
16476,70.34928966725886,1.0294398434365313,-2.0837,Blue-White,B,3
9717,82.06341058615205,3.196387,0.324,White,B,3
11176,106.26037491100878,2.7496707,0.3055,Blue-White,B,3
18924,118.29461360535636,1.0117943937890048,-2.1236,Blue-White,B,3
10793,154.90486998547635,3.5596926,-0.1339,Blue-White,B,3
11663,211.86835704548437,3.5651891,-0.0258,Blue-White,B,3
16110,466.8765104458654,2.7736092,-0.5913,Blue-White,B,3
15164,759.4071027114649,3.9926956,-2.5017,Blue-White,B,3
3898,0.027350170501108342,0.3626644,8.9517,Orange,M,1
3944,0.053477262518842966,0.49534363,8.6901,Orange,M,1
3840,0.05604868916990681,0.5347823,9.114,Orange,M,1
3685,0.05835131468777594,0.5926089,9.1143,Orange-Red,M,1
3824,0.05886381573669986,0.5528732,8.7757,Orange,M,1
3917,0.06347372383646342,0.54710823,8.2657,Orange,M,1
3674,0.06347866320223906,0.6218424,8.8547,Orange-Red,M,1
3740,0.06384705541412007,0.6019135,8.9696,Orange,M,1
3648,0.06539720499935799,0.6400449,9.0659,Orange-Red,M,1
3919,0.06568225749079311,0.5560106,8.6701,Orange,M,1
3765,0.06821643873073202,0.6137137,9.3137,Orange,M,1
4090,0.06824034361708388,0.5201438,7.82,Orange,M,1
3635,0.06843330971472347,0.65943813,9.0213,Orange-Red,M,1
3797,0.06849579736929678,0.604714,8.7232,Orange,M,1
3834,0.06941631999371137,0.5969963,7.5416,Orange,M,1
3555,0.06963702416772068,0.6958116,9.0326,Orange-Red,M,1
3808,0.06971921791411195,0.6067691,8.4528,Orange,M,1
3661,0.07049413463453301,0.6600846,8.7692,Orange-Red,M,1
3879,0.07125011715533226,0.5910112,8.5445,Orange,M,1
3696,0.07128814250435295,0.65102464,8.668,Orange-Red,M,1
3807,0.07172648821289182,0.61560744,8.6658,Orange,M,1
3645,0.07178112811642931,0.67171425,8.7134,Orange-Red,M,1
3592,0.07186436541142155,0.69210064,8.9571,Orange-Red,M,1
3827,0.07252098471655691,0.6125763,8.836,Orange,M,1
3807,0.07325128967951759,0.6220461,8.8937,Orange,M,1
3613,0.0737508942992624,0.6931785,8.9426,Orange-Red,M,1
4113,0.07440687822366344,0.5372297,7.7202,Orange,M,1
3668,0.07515779560701856,0.6789911,7.8632,Orange-Red,M,1
4136,0.07590829633067435,0.53656864,7.037,Orange,M,1
3990,0.07756779254557175,0.5828869,8.421,Orange,M,1
3700,0.07834810631794659,0.68106633,8.7675,Orange,M,1
3860,0.0784337636959656,0.6261918,8.7287,Orange,M,1
4108,0.07863799244404014,0.553649,7.1388,Orange,M,1
4168,0.08066982806421676,0.5448111,6.8369,Orange,M,1
3970,0.08371810860158825,0.61173326,8.2633,Orange,M,1
3978,0.08456186109800354,0.6123251,8.5408,Orange,M,1
3828,0.09021078009695263,0.68277806,8.8224,Orange,M,1
4224,0.0904708977767707,0.5615641,6.8249,Orange,M,1
3824,0.09116821092866631,0.68800265,8.667,Orange,M,1
4131,0.09188341516034902,0.59186566,7.0784,Orange,M,1
3862,0.09189941233207168,0.6772141,7.3741,Orange,M,1
3885,0.09213279891515574,0.6700377,8.4739,Orange,M,1
4377,0.09512479800798102,0.5363803,6.7209,Orange,M,1
4063,0.0961855158027954,0.62587476,7.7702,Orange,M,1
3975,0.09653812669379408,0.6551119,6.9988,Orange,M,1
3887,0.0971242144390508,0.687066,8.563,Orange,M,1
4172,0.0992937391091965,0.60323733,6.9881,Orange,M,1
4186,0.10325621842381842,0.6108144,7.2743,Orange,M,1
4293,0.11352287488354718,0.6090758,6.9505,Orange,M,1
4063,0.11645028672431591,0.68863344,7.6402,Orange,M,1
4221,0.12370924394445584,0.65762925,7.0529,Orange,M,1
4271,0.12918825320305594,0.6565875,6.8295,Orange,M,1
4389,0.13625698871451297,0.63833505,7.0968,Orange,M,1
4324,0.13773773466485276,0.661457,6.7446,Orange,M,1
4264,0.1398231887748492,0.6852239,7.2955,Orange,M,1
